"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session","DTcheck","rdif","confwidth","absrdif","confdiff","prevtrlconfdiff","prevtrlcw","prevtrlabsrdif"
"54","cued",1,0,1,10,1,2,2,2,0,1,1,54,2,88,10,10,88,115,0.739817853657,2.11984034628,21,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.799565411122,1,1.77018348941,30,1,"a",0,11,9,11,2,-8,10,2
"55","neutral",0,0,0,10,1,2,0,1,1,1,1,55,2,162,46,162,46,18,0.519862219942,NA,167,"[ 1.9]",1,11,21,31,41,51,61,71,76,0,0.309627147144,1,1.39020666708,-180,1.2,"a",0,5,13,5,-8,2,9,11
"56","neutral",0,0,0,10,1,2,0,1,1,1,1,56,2,172,162,172,162,4,0.539873319027,2.01991795573,168,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.579624500067,1,1.3701739347,177,1.4,"a",0,-4,9,4,-5,-8,13,5
"57","neutral",0,1,1,10,2,1,0,1,1,1,1,57,2,150,89,89,150,134,1.25979785488,NA,120,"[ 1.5]",1,12,22,32,42,52,62,72,77,0,0.259691491174,0,NA,188,1.3,"a",1,31,68,31,-37,-5,9,4
"58","neutral",0,0,0,10,1,2,0,1,1,1,1,58,2,172,43,172,43,159,0.509873346069,1.94992522992,171,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.399648999773,1,1.37028931228,-176,1.4,"a",0,-1,13,1,-12,-37,68,31
"59","cued",1,1,0,10,2,1,2,2,0,1,1,59,2,158,106,158,106,76,0.459848152288,2.26984892448,167,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.379656829824,1,1.14021831,-174,1.1,"a",0,9,19,9,-10,-12,13,1
"60","cued",1,1,1,10,2,1,1,1,0,1,1,60,2,134,131,131,134,148,0.96985850923,1.60000727119,149,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.549647362259,1,1.11029074849,158,1.3,"a",0,18,9,18,9,-10,19,9
"61","cued",1,0,1,10,1,2,2,2,0,1,1,61,2,132,40,40,132,90,0.279937251424,1.70995939851,42,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.529665107566,1,1.52020594897,24,1.4,"a",0,2,18,2,-16,9,9,18
"62","neutral",0,1,1,10,2,1,0,1,1,1,1,62,2,86,73,73,86,17,0.439890835984,1.98987081016,65,"[ 2.]",1,12,22,32,42,52,62,72,77,1,0.42965828707,1,1.29022598682,48,1.3,"a",0,-8,17,8,-9,-16,18,2
"63","cued",1,1,0,10,2,1,2,2,0,1,1,63,2,64,55,64,55,155,0.319931506583,1.66995042069,61,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.519633868487,1,1.63019383133,80,1.3,"a",0,-3,19,3,-16,-9,17,8
"64","neutral",0,1,1,10,2,1,0,1,1,1,1,64,2,21,144,144,21,144,0.589824899504,1.49994065867,166,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.339659570043,1,1.31023348035,153,1.4,"a",0,22,13,22,9,-16,19,3
"65","neutral",0,0,1,10,1,2,0,2,2,1,1,65,3,17,34,34,17,143,0.579892212107,2.5099091011,41,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.349737981727,1,1.43037068352,27,1.4,"a",0,7,14,7,-7,9,13,22
"66","cued",1,1,0,10,2,1,2,2,0,1,1,66,3,143,76,143,76,28,7.42908710797,9.3090754981,147,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.459645941068,1,1.39018954072,133,1.5,"a",1,4,14,4,-10,-7,14,7
"67","neutral",0,1,1,10,2,1,0,1,1,1,1,67,3,85,21,21,85,7,0.629830572234,2.25972574389,24,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.289687558121,1,0.980325118388,10,1.4,"a",0,3,14,3,-11,-10,14,4
"68","neutral",0,0,0,10,1,2,0,1,1,1,1,68,3,52,1,52,1,121,0.539839066307,1.95992852599,51,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.489607454834,1,1.13025858098,32,1.2,"a",0,-1,19,1,-18,-11,14,3
"69","cued",1,1,1,10,2,1,1,1,0,1,1,69,3,142,150,150,142,155,0.0899623610712,1.40000444684,164,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.639628652461,1,1.58018816761,149,1.3,"a",0,14,15,14,-1,-18,19,1
"70","cued",1,0,0,10,1,2,1,1,0,1,1,70,3,105,56,105,56,170,0.689916149946,2.0899341176,107,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.359667664503,1,1.27025575063,128,1.1,"a",0,2,21,2,-19,-1,15,14
"71","neutral",0,1,0,10,2,1,0,2,2,1,1,71,3,163,116,163,116,80,0.659875915018,1.67998796948,157,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.319681521829,1,0.860299987711,174,1.3,"a",0,-6,17,6,-11,-19,21,2
"72","cued",1,0,0,10,1,2,1,1,0,1,1,72,3,55,3,55,3,74,0.0999581455835,1.68998165076,62,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.459612289276,1,1.56015874032,51,1.2,"a",0,7,11,7,-4,-11,17,6
"73","neutral",0,1,0,10,2,1,0,2,2,1,1,73,3,143,101,143,101,100,0.669854873635,1.68996722856,130,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.389643300001,1,1.55016445812,143,1.4,"a",0,-13,13,13,0,-4,11,7
"74","neutral",0,1,0,10,2,1,0,2,2,1,1,74,3,147,150,147,150,48,0.489942770921,NA,143,"[ 1.6]",1,11,21,31,41,51,61,71,76,0,0.259678571289,1,0.790316275779,153,1.5,"a",0,-4,10,4,-6,0,13,13
"75","cued",1,1,0,10,2,1,2,2,0,1,1,75,3,48,59,48,59,41,0.639911087153,1.48992985103,36,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.469672973675,1,1.19030269488,23,1.4,"a",0,-12,13,12,-1,-6,10,4
