"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"241",0,0,1,1,6,2,1,0,1,1,1,1,241,8,6,54,54,6,88,0.939889570953,2.52980343365,58,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.379745040322,1,1.15034863238,96,1.1,"a"
"242",0,0,0,1,6,1,2,0,2,2,1,1,242,8,62,179,179,62,120,1.05976851183,1.90985493756,58,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.269629969254,1,1.06018794631,133,1.4,"a"
"243",0,0,1,0,6,2,1,0,2,2,1,1,243,8,160,120,160,120,97,1.16968468202,2.43968300849,124,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.419643594867,1,1.22020941078,94,1.1,"a"
"244",0,0,0,1,6,1,2,0,2,2,1,1,244,8,148,6,6,148,94,0.639874037457,1.80986368079,14,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.369721878285,1,2.08021113538,46,1.1,"a"
"245",1,1,1,1,6,2,1,1,1,0,1,1,245,8,40,127,127,40,136,0.45988286481,1.10003482268,136,"[ 1.5]",2,14,24,34,44,54,64,74,79,1,0.449672820076,1,1.91036540976,95,1.3,"a"
"246",1,1,1,0,6,2,1,2,2,0,1,1,246,8,41,130,41,130,163,0.339892755772,1.28999267191,46,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.379635374431,0,NA,-31,1.2,"a"
"247",0,0,0,0,6,1,2,0,1,1,1,1,247,8,57,53,57,53,3,1.23970530221,1.70990096719,3,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.699613104744,1,1.89009043981,57,1,"a"
"248",1,1,0,0,6,1,2,1,1,0,1,1,248,8,73,86,73,86,59,0.829769692615,1.27998573442,59,"[ 1.8]",2,13,23,33,43,53,63,73,78,1,0.569533733678,1,1.5701166154,150,1.2,"a"
"249",1,1,1,1,6,2,1,1,1,0,1,1,249,8,33,95,95,33,116,0.289944599195,1.79992164147,121,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.289601780612,1,1.1704817878,106,1,"a"
"250",0,0,0,0,6,1,2,0,1,1,1,1,250,8,16,166,16,166,158,1.55970887161,2.90968968759,27,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.389678967374,1,1.18035081668,63,1.3,"a"
"251",0,0,1,0,6,2,1,0,2,2,1,1,251,8,83,174,83,174,27,1.62967240545,NA,155,"[ 1.7]",1,11,21,31,41,51,61,71,76,0,0.96960722485,1,2.31000804918,88,1.2,"a"
"252",1,1,1,0,6,2,1,2,2,0,1,1,252,8,92,129,92,129,125,0.529850905465,1.33992700758,85,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.479679811651,1,1.51014109043,31,1.2,"a"
"253",0,0,0,1,6,1,2,0,2,2,1,1,253,8,68,49,49,68,107,0.709842979475,1.65986267427,38,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.339691150804,1,1.12026953172,81,1.5,"a"
"254",0,0,1,1,6,2,1,0,1,1,1,1,254,8,70,57,57,70,41,0.889872610298,1.72989320946,70,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.399624912605,1,1.57007875814,31,1.3,"a"
"255",1,1,0,0,6,1,2,1,1,0,1,1,255,8,3,145,3,145,56,0.339928209403,1.93983548915,0,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.439668887126,1,1.1103407124,17,1,"a"
"256",1,1,1,1,6,2,1,1,1,0,1,1,256,8,49,112,112,49,87,0.3599492953,1.63994284154,150,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.359649141255,1,1.51012666861,90,1.2,"a"
