"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv"
"280",1,1,0,0,1,1,2,1,1,0,1,1,280,9,124,57,124,57,115,0.669820682868,1.99983355111,110,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.529699259303,1,1.26025455864,126,1.3
"281",0,0,0,0,1,1,2,0,1,1,1,1,281,9,147,17,147,17,140,0.78986608676,1.84983966525,150,"[ 1.8]",1,11,21,31,41,51,61,71,76,1,0.669562596951,1,1.61012712309,165,1.1
"282",0,0,1,1,1,2,1,0,1,1,1,1,282,9,55,111,111,55,102,0.699899559813,1.63988572112,116,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.479578013003,1,1.40012690977,134,1.4
"283",0,0,1,1,1,2,1,0,1,1,1,1,283,9,169,178,178,169,164,0.899792960414,1.93983173039,169,"[ 1.9]",1,12,22,32,42,52,62,72,77,1,0.589565877857,1,2.08001955324,158,1.4
"284",1,1,1,0,1,2,1,2,2,0,1,1,284,9,89,132,89,132,33,0.48987140471,2.0898223113,102,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.609660224934,1,1.38023356325,113,1.4
"285",0,0,0,1,1,1,2,0,2,2,1,1,285,9,107,170,170,107,45,0.599841543059,2.24982836836,172,"[ 1.8]",1,12,22,32,42,52,62,72,77,1,0.519608370396,1,1.68013029884,163,1.3
"286",1,1,0,1,1,1,2,2,2,0,1,1,286,9,90,128,128,90,17,0.799875553916,2.16982564028,147,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.659610215154,1,1.65011421579,161,1.4
"287",0,0,0,0,1,1,2,0,1,1,1,1,287,9,54,122,54,122,7,0.8298363543,2.41985831414,74,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.499611669329,1,1.19025949502,88,1.2
"288",1,1,0,1,1,1,2,2,2,0,1,1,288,9,20,74,74,20,3,1.31972458417,2.64977651082,66,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.489646668664,1,1.15034451015,81,1.4
"289",0,0,1,0,1,2,1,0,2,2,1,1,289,10,161,157,161,157,116,2.7195420312,4.10948521324,171,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.94956598602,1,1.66016033775,162,1.3
"290",0,0,1,1,1,2,1,0,1,1,1,1,290,10,66,67,67,66,96,0.819840407361,1.8598539396,69,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.759513200088,1,1.59019201412,87,1.4
"291",1,1,1,1,1,2,1,1,1,0,1,1,291,10,6,16,16,6,36,0.509711571713,1.57970633488,9,"[ 2.]",2,14,24,34,44,54,64,74,79,1,0.78962182151,1,1.58019726898,22,1.1
"292",0,0,1,0,1,2,1,0,2,2,1,1,292,10,1,92,1,92,43,0.679807015431,1.92973152755,1,"[ 1.7]",1,11,21,31,41,51,61,71,76,1,0.54970737744,1,1.24023682612,5,1.4
"293",1,1,1,0,1,2,1,2,2,0,1,1,293,10,154,9,154,9,1,1.07979001,2.33994271634,160,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.599644448343,1,1.48008216686,168,1.4
"294",0,0,0,1,1,1,2,0,2,2,1,1,294,10,98,139,139,98,106,0.55988299304,1.74987478777,146,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.549632265125,1,1.57009796749,159,1.3
"295",1,1,0,1,1,1,2,2,2,0,1,1,295,10,163,98,98,163,38,2.17960075701,3.55957322985,113,"[ 1.9]",2,14,24,34,44,54,64,74,79,1,0.509626544572,1,1.25021053982,127,1.4
"296",1,1,0,1,1,1,2,2,2,0,1,1,296,10,150,114,114,150,9,0.459833388866,1.77983018007,112,"[ 1.7]",2,14,24,34,44,54,64,74,79,1,0.509693244307,1,1.31028987645,126,1.3
"297",1,1,0,0,1,1,2,1,1,0,1,1,297,10,3,142,3,142,76,0.489888530319,2.03981673797,179,"[ 1.6]",2,13,23,33,43,53,63,73,78,1,0.639540204467,1,1.24013497383,170,1.1
"298",1,1,0,0,1,1,2,1,1,0,1,1,298,10,29,104,29,104,16,0.559853549012,1.77986533263,22,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,0.579606285279,1,1.51010786429,42,1.4
"299",0,0,0,0,1,1,2,0,1,1,1,1,299,10,42,99,42,99,172,0.60988586233,2.06982530979,28,"[ 1.6]",1,11,21,31,41,51,61,71,76,1,0.649566496782,1,1.75001900342,45,1.5
"300",0,0,1,1,1,2,1,0,1,1,1,1,300,10,27,129,129,27,90,0.799786320486,1.9498568209,125,"[ 1.6]",1,12,22,32,42,52,62,72,77,1,0.499539261056,1,1.49002072799,138,1.2
"301",0,0,0,1,1,1,2,0,2,2,1,1,301,10,69,38,38,69,48,0.929802433579,1.98985623202,39,"[ 1.7]",1,12,22,32,42,52,62,72,77,1,0.799585019478,1,1.84008107323,56,1.2
