"","cond","cue","colcond","pside","subid","stimcol1","stimcol2","cuecol","probedcol","pcol","delay1","delay2","trialnum","block","ori1","ori2","targori","nontargori","pstartang","DT","CT","resp","ITI","arraytrig","cuetrig","prbontrig","moveontrig","moveofftrig","confontrig","confmovontrig","confmovofftrig","fbtrig","clickresp","confDT","confclicked","confCT","confang","DialConfInterv","session"
"124",1,1,1,0,23,2,1,2,2,0,1,1,124,4,67,124,67,124,81,0.889867592568,1.57995223862,23,"[ 1.5]",2,13,23,33,43,53,63,73,78,1,0.279719561135,1,0.99033084431,-1,1.5,"b"
"125",0,0,1,0,23,2,1,0,2,2,1,1,125,4,95,8,95,8,23,0.689918490769,2.18006485164,146,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.839634013699,1,1.4802037851,-176,1,"b"
"126",0,0,1,0,23,2,1,0,2,2,1,1,126,4,128,124,128,124,154,0.939825347665,2.17996599976,138,"[ 1.9]",1,11,21,31,41,51,61,71,76,1,0.859681114063,1,1.54022430062,144,1.5,"b"
"127",1,1,0,0,23,1,2,1,1,0,1,1,127,4,144,68,144,68,172,0.339887302853,1.64996971347,156,"[ 1.7]",2,13,23,33,43,53,63,73,78,1,0.349649000724,1,1.36013871712,165,1.5,"b"
"128",1,1,1,1,23,2,1,1,1,0,1,1,128,4,28,38,38,28,4,0.359922685215,2.09989688157,38,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.709574390092,1,1.4201814668,27,1.1,"b"
"129",1,1,1,1,23,2,1,1,1,0,1,1,129,5,10,111,111,10,86,0.309943897804,NA,76,"[ 1.9]",2,14,24,34,44,54,64,74,79,0,0.789702999689,1,2.2903246548,7,1.1,"b"
"130",1,1,1,1,23,2,1,1,1,0,1,1,130,5,127,148,148,127,92,0.429880969121,NA,104,"[ 1.8]",2,14,24,34,44,54,64,74,79,0,0.699586144152,1,1.73020288371,171,1.3,"b"
"131",1,1,0,1,23,1,2,2,2,0,1,1,131,5,17,173,173,17,166,0.419853663168,0.980096820756,166,"[ 1.8]",2,14,24,34,44,54,64,74,79,1,0.679610854117,1,1.92018657465,-174,1.4,"b"
"132",1,1,0,1,23,1,2,2,2,0,1,1,132,5,118,25,25,118,30,0.0799300044582,0.680163403053,30,"[ 1.6]",2,14,24,34,44,54,64,74,79,1,0.989622355788,1,2.25011417542,13,1.1,"b"
"133",1,1,0,0,23,1,2,1,1,0,1,1,133,5,165,98,165,98,26,0.979868469918,2.35986229243,139,"[ 1.9]",2,13,23,33,43,53,63,73,78,1,1.77950172645,1,3.43011623058,156,1.1,"b"
